t = 0, dt = 0.01, tmax = 1, Ca = 10, Cb = 0, Cc = 10 , alpha = 10, beta = 10, gama = 10
Passo t = 0,0000: Ca = 10,000000, Cb = 0,000000, Cc = 10,000000
Passo t = 0,0100: Ca = 4,824160, Cb = 5,175840, Cc = 4,700487
Passo t = 0,0200: Ca = 3,372629, Cb = 6,627371, Cc = 3,174764
Passo t = 0,0300: Ca = 2,637159, Cb = 7,362841, Cc = 2,385384
Passo t = 0,0400: Ca = 2,204559, Cb = 7,795441, Cc = 1,910620
Passo t = 0,0500: Ca = 1,926938, Cb = 8,073062, Cc = 1,598344
Passo t = 0,0600: Ca = 1,738584, Cb = 8,261416, Cc = 1,380464
Passo t = 0,0700: Ca = 1,606002, Cb = 8,393998, Cc = 1,222027
Passo t = 0,0800: Ca = 1,510372, Cb = 8,489628, Cc = 1,103259
Passo t = 0,0900: Ca = 1,440320, Cb = 8,559680, Cc = 1,012135
Passo t = 0,1000: Ca = 1,388575, Cb = 8,611425, Cc = 0,940919
Passo t = 0,1100: Ca = 1,350277, Cb = 8,649723, Cc = 0,884412
Passo t = 0,1200: Ca = 1,322059, Cb = 8,677941, Cc = 0,838993
Passo t = 0,1300: Ca = 1,301518, Cb = 8,698482, Cc = 0,802067
Passo t = 0,1400: Ca = 1,286899, Cb = 8,713101, Cc = 0,771730
Passo t = 0,1500: Ca = 1,276893, Cb = 8,723107, Cc = 0,746558
Passo t = 0,1600: Ca = 1,270511, Cb = 8,729489, Cc = 0,725467
Passo t = 0,1700: Ca = 1,266991, Cb = 8,733009, Cc = 0,707627
Passo t = 0,1800: Ca = 1,265744, Cb = 8,734256, Cc = 0,692388
Passo t = 0,1900: Ca = 1,266309, Cb = 8,733691, Cc = 0,679243
Passo t = 0,2000: Ca = 1,268322, Cb = 8,731678, Cc = 0,667791
Passo t = 0,2100: Ca = 1,271493, Cb = 8,728507, Cc = 0,657711
Passo t = 0,2200: Ca = 1,275594, Cb = 8,724406, Cc = 0,648751
Passo t = 0,2300: Ca = 1,280439, Cb = 8,719561, Cc = 0,640704
Passo t = 0,2400: Ca = 1,285881, Cb = 8,714119, Cc = 0,633408
Passo t = 0,2500: Ca = 1,291802, Cb = 8,708198, Cc = 0,626729
Passo t = 0,2600: Ca = 1,298106, Cb = 8,701894, Cc = 0,620562
Passo t = 0,2700: Ca = 1,304716, Cb = 8,695284, Cc = 0,614819
Passo t = 0,2800: Ca = 1,311569, Cb = 8,688431, Cc = 0,609430
Passo t = 0,2900: Ca = 1,318614, Cb = 8,681386, Cc = 0,604339
Passo t = 0,3000: Ca = 1,325812, Cb = 8,674188, Cc = 0,599499
Passo t = 0,3100: Ca = 1,333128, Cb = 8,666872, Cc = 0,594873
Passo t = 0,3200: Ca = 1,340537, Cb = 8,659463, Cc = 0,590429
Passo t = 0,3300: Ca = 1,348016, Cb = 8,651984, Cc = 0,586143
Passo t = 0,3400: Ca = 1,355549, Cb = 8,644451, Cc = 0,581995
Passo t = 0,3500: Ca = 1,363120, Cb = 8,636880, Cc = 0,577966
Passo t = 0,3600: Ca = 1,370718, Cb = 8,629282, Cc = 0,574045
Passo t = 0,3700: Ca = 1,378334, Cb = 8,621666, Cc = 0,570219
Passo t = 0,3800: Ca = 1,385961, Cb = 8,614039, Cc = 0,566479
Passo t = 0,3900: Ca = 1,393592, Cb = 8,606408, Cc = 0,562817
Passo t = 0,4000: Ca = 1,401222, Cb = 8,598778, Cc = 0,559227
Passo t = 0,4100: Ca = 1,408847, Cb = 8,591153, Cc = 0,555703
Passo t = 0,4200: Ca = 1,416465, Cb = 8,583535, Cc = 0,552242
Passo t = 0,4300: Ca = 1,424073, Cb = 8,575927, Cc = 0,548839
Passo t = 0,4400: Ca = 1,431667, Cb = 8,568333, Cc = 0,545490
Passo t = 0,4500: Ca = 1,439248, Cb = 8,560752, Cc = 0,542194
Passo t = 0,4600: Ca = 1,446813, Cb = 8,553187, Cc = 0,538948
Passo t = 0,4700: Ca = 1,454361, Cb = 8,545639, Cc = 0,535749
Passo t = 0,4800: Ca = 1,461892, Cb = 8,538108, Cc = 0,532597
Passo t = 0,4900: Ca = 1,469404, Cb = 8,530596, Cc = 0,529489
Passo t = 0,5000: Ca = 1,476898, Cb = 8,523102, Cc = 0,526423
Passo t = 0,5100: Ca = 1,484373, Cb = 8,515627, Cc = 0,523400
Passo t = 0,5200: Ca = 1,491828, Cb = 8,508172, Cc = 0,520417
Passo t = 0,5300: Ca = 1,499263, Cb = 8,500737, Cc = 0,517473
Passo t = 0,5400: Ca = 1,506678, Cb = 8,493322, Cc = 0,514568
Passo t = 0,5500: Ca = 1,514073, Cb = 8,485927, Cc = 0,511700
Passo t = 0,5600: Ca = 1,521447, Cb = 8,478553, Cc = 0,508869
Passo t = 0,5700: Ca = 1,528801, Cb = 8,471199, Cc = 0,506074
Passo t = 0,5800: Ca = 1,536135, Cb = 8,463865, Cc = 0,503314
Passo t = 0,5900: Ca = 1,543448, Cb = 8,456552, Cc = 0,500588
Passo t = 0,6000: Ca = 1,550740, Cb = 8,449260, Cc = 0,497896
Passo t = 0,6100: Ca = 1,558013, Cb = 8,441987, Cc = 0,495237
Passo t = 0,6200: Ca = 1,565264, Cb = 8,434736, Cc = 0,492610
Passo t = 0,6300: Ca = 1,572495, Cb = 8,427505, Cc = 0,490015
